canonical_risk_id,row_type,name,description,risk_family,mit_domain,mit_subdomain,ai_type,scope_class,source_standard,source_frameworks,source_count,iso_references,eu_ai_act_articles,eu_cop_references,nearest_mit_risk,related_frameworks,parent_risk_id,atlas_technique_id,atlas_technique_name
MR-001,Risk,Biased or discriminatory outputs and decisions,"The system produces unfair or discriminatory outputs or decisions (e.g. in hiring, lending, services) that disadvantage individuals or groups, often from biased training data.",Model & system behaviour,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation,"GPAI, Agentic, Classical_ML",Both,MIT AI Risk Repository v4,AIVerify2023 | Abercrombie2024 | Critch2023 | Cui2024 | G'sell2024 | GOS2023 | Giarmoleo2024 | Gipiškis2024 | Habbal2024 | Hogenhout2021 | Kumar2023 | Li2025 | Liu2024 | Meek2016 | Paes2023 | Perlo2025 | Saghiri2022 | Schnitzer2024 | Shelby2023 | Sherman2023 | Stanley2024 | Steimers2022 | Sun2023 | TC2602024 | Teixeira2022 | Uuk2025 | Weidinger2021 | Weidinger2022 | Wirtz2020 | Wirtz2022 | Zeng2024 | Zhang2023,32,"23894 obj A.6; src 6, 7; mech B.5 | 42001 ctrl A.5.4, A.7.4, A.6.2.4",Art. 10 | Art. 5(c),,,EU AI Act 2024/1689 + GPAI Code of Practice | NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-002,Risk,Stereotyping and representational harm,"The system reproduces demeaning stereotypes, mis/under-represents groups, or erases or appropriates cultural identity in its outputs.",Model & system behaviour,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,Abercrombie2024 | Anwar2024 | Bengio2024 | Bengio2025 | Cui2024 | Deng2023 | G'sell2024 | GOS2023 | Gabriel2024 | Ghosh2024 | Gipiškis2024 | Hagendorff2024 | IBM2025 | InfoComm2023 | Leech2024 | Li2025 | Liu2024 | Maham2023 | Paes2023 | Shelby2023 | Solaiman2023 | Tan2022 | Vidgen2024 | Weidinger2021 | Weidinger2022 | Weidinger2023 | Zeng2024 | Zhang2022,28,"23894 obj A.6; src 6; mech B.5 | 42001 ctrl A.5.4, A.7.4",,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-003,Risk,"Toxic, hateful, or harassing content generation","The system generates hateful, abusive, profane, harassing, or otherwise offensive content.",Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Abercrombie2024 | Anwar2024 | Cui2024 | Deng2023 | Ghosh2024 | Gipiškis2024 | Hagendorff2024 | InfoComm2023 | Li2025 | Liu2024 | Solaiman2023 | Stanley2024 | Sun2023 | Vidgen2024 | Wang2025 | Zeng2024 | Zhang2023,17,"23894 obj A.6, A.10; src 6, 7; mech B.5 | 42001 ctrl A.5.4, A.6.2.4",,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-004,Risk,Violent or extremist content generation,"The system generates content that incites, glorifies, or facilitates violence, terrorism, or extremism.",Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Abercrombie2024 | Coghlan2023 | Critch2023 | DSIT2023 | Deng2023 | Gipiškis2024 | IBM2025 | InfoComm2023 | Li2025 | Liu2024 | Shelby2023 | Stanley2024 | TC2602024 | Uuk2025 | Vidgen2024 | Zeng2024,16,"23894 obj A.10; src 7; mech B.5 | 42001 ctrl A.5.4, A.6.2.4",,,,NIST AI 600-1 Generative AI Profile | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-005,Risk,Child sexual abuse material and child-safety harm,The system generates or facilitates child sexual abuse material (CSAM) or other sexual/abusive harm to minors.,Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Bengio2025 | Gabriel2024 | Ghosh2024 | Gipiškis2024 | Liu2024 | Marchal2024 | NIST2024 | Vidgen2024 | Weidinger2023 | Zeng2024,10,"23894 obj A.10; src 7; mech B.5 | 42001 ctrl A.5.4, A.6.2.4",,,,NIST AI 600-1 Generative AI Profile | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-006,Risk,Disparate performance across groups and languages,"The system performs measurably worse for some demographic groups, dialects, or languages, degrading service quality for those users.",Model & system behaviour,1. Discrimination & Toxicity,1.3 > Unequal performance across groups,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,IBM2025 | Li2025 | Liu2024 | NIST2024 | Shelby2023 | Solaiman2023 | Weidinger2021 | Weidinger2022 | Weidinger2023,9,"23894 obj A.6, A.9; src 6; mech B.5 | 42001 ctrl A.7.4, A.6.2.4",,,,IBM AI Risk Atlas | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-007,Risk,"Self-harm, suicide and dangerous-behavior promotion","The system produces content that encourages or enables suicide, self-harm, eating disorders, or other dangerous behaviors.",Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Abercrombie2024 | Ghosh2024 | Gipiškis2024 | Li2025 | Stanley2024 | Sun2023 | Vidgen2024 | Zeng2024,8,23894 obj A.10; src 7; mech B.5 | 42001 ctrl A.5.4,,,,NIST AI 600-1 Generative AI Profile | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-008,Risk,Sexual content and non-consensual intimate imagery,"The system generates sexual or adult content, or non-consensual intimate imagery, in inappropriate contexts.",Model & system behaviour,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,GPAI,System,MIT AI Risk Repository v4,Cui2024 | Ghosh2024 | Gipiškis2024 | IBM2025 | InfoComm2023 | Liu2024 | Vidgen2024 | Zeng2024,8,"23894 obj A.10; src 7; mech B.5 | 42001 ctrl A.5.4, A.6.2.4",,,,NIST AI 600-1 Generative AI Profile | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-009,Risk,Leakage of personal or sensitive data,"The system memorizes and discloses personal or sensitive data in its outputs, or such data is extracted via inference/extraction attacks, as distinct from the lawful basis for collecting or processing that data (MR-011).","Data, privacy & content liability",2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,"GPAI, Classical_ML",System,MIT AI Risk Repository v4,Bengio2024 | Cui2024 | Deng2023 | G'sell2024 | Gabriel2024 | Giarmoleo2024 | Gipiškis2024 | Habbal2024 | Hagendorff2024 | Hammond2025 | Hogenhout2021 | IBM2025 | InfoComm2023 | Li2025 | Liu2024 | Maham2023 | Marchal2024 | NIST2024 | Perlo2025 | Saghiri2022 | Schnitzer2024 | Sherman2023 | Stanley2024 | Steimers2022 | TC2602024 | Tan2022 | Vidgen2024 | Wang2025 | Weidinger2021 | Weidinger2022 | Weidinger2023 | Wirtz2022 | Zeng2024 | Zhang2023,34,"23894 obj A.8; src 6; mech B.5 | 42001 ctrl A.7.4, A.7.5, A.5.4",,,,OWASP Top 10 for LLM Applications 2025 | MITRE ATLAS v5.6.0 | NIST AI 600-1 Generative AI Profile | NIST AI 100-2 Adversarial Machine Learning | IBM AI Risk Atlas | Cisco AI Security Framework | ISO/IEC 42001:2023 | ISO/IEC 23894:2023,,,
MR-009.1,Sub-risk,Prompt-induced leakage of sensitive data,"Crafted prompts induce the model to reveal sensitive data from its training set, context, or memory.","Data, privacy & content liability",,,,,MITRE ATLAS v5.6.0,,,,,,,,MR-009,AML.T0057,LLM Data Leakage
