framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
iso_23894,ISO/IEC 23894 (numbers only),A.2,ISO/IEC 23894 Annex A A.2,,Mapped,MR-040 | MR-042 | MR-043 | MR-051 | MR-054,Regulatory non-compliance and legal liability | Unclear accountability and responsibility for AI decisions | Inadequate AI governance and oversight processes | Ethical or value misalignment in outputs and decisions | Loss of meaningful human oversight and control,Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.3,ISO/IEC 23894 Annex A A.3,,Mapped,MR-034 | MR-048,Overreliance and automation bias | AI competence and skills gaps in the organization,Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.4,ISO/IEC 23894 Annex A A.4,,Mapped,MR-021 | MR-050 | MR-059,Hallucination and fabricated output | Inaccuracy and poor predictive performance | Poor data quality and representativeness,Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.5,ISO/IEC 23894 Annex A A.5,,Mapped,MR-037,Environmental footprint of AI,Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.6,ISO/IEC 23894 Annex A A.6,,Mapped,MR-001 | MR-002 | MR-003 | MR-006,"Biased or discriminatory outputs and decisions | Stereotyping and representational harm | Toxic, hateful, or harassing content generation | Disparate performance across groups and languages",Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.7,ISO/IEC 23894 Annex A A.7,,Mapped,MR-058,Model performance drift and degradation over time,Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.8,ISO/IEC 23894 Annex A A.8,,Mapped,MR-009 | MR-011 | MR-013 | MR-017 | MR-031 | MR-033 | MR-039,"Leakage of personal or sensitive data | Unlawful or non-consensual collection and processing of personal data | Disclosure of confidential or proprietary information | Privacy-invasive inference and re-identification | Impersonation, deepfakes and synthetic media | Mass surveillance and censorship enablement | Intellectual property and copyright infringement",Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.9,ISO/IEC 23894 Annex A A.9,,Mapped,MR-006 | MR-012 | MR-021 | MR-022 | MR-024 | MR-025 | MR-046 | MR-050 | MR-053 | MR-056 | MR-057 | MR-058 | MR-060 | MR-061,"Disparate performance across groups and languages | Adversarial examples and evasion attacks | Hallucination and fabricated output | Unsafe or incorrect advice in high-stakes domains | Defamation and false statements about people | Overconfidence, sycophancy and poor calibration | Inadequate evaluation, testing and benchmarking | Inaccuracy and poor predictive performance | Goal misspecification, specification gaming and reward hacking | Lack of robustness to distribution shift and edge cases | Multi-agent interaction risks | Model performance drift and degradation over time | Use outside intended scope | Over-refusal and excessive safety filtering",Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.10,ISO/IEC 23894 Annex A A.10,,Mapped,MR-003 | MR-004 | MR-005 | MR-007 | MR-008 | MR-022 | MR-026 | MR-029 | MR-030 | MR-031 | MR-032 | MR-035 | MR-036 | MR-041 | MR-049 | MR-052 | MR-057,"Toxic, hateful, or harassing content generation | Violent or extremist content generation | Child sexual abuse material and child-safety harm | Self-harm, suicide and dangerous-behavior promotion | Sexual content and non-consensual intimate imagery | Unsafe or incorrect advice in high-stakes domains | Disinformation and influence operations | Facilitation of weapons, CBRN and serious physical harm (capability uplift) | Manipulation, persuasion and dark patterns | Impersonation, deepfakes and synthetic media | Deliberate misuse and repurposing for harm | Erosion of human agency and autonomy | Anthropomorphism, emotional dependence and psychological harm | Academic and professional dishonesty | Physical safety harm and accidents | Emergent dangerous capabilities | Multi-agent interaction risks",Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.11,ISO/IEC 23894 Annex A A.11,,Mapped,MR-010 | MR-012 | MR-013 | MR-014 | MR-015 | MR-016 | MR-018 | MR-019 | MR-020 | MR-027 | MR-028 | MR-032 | MR-052,"Prompt injection and jailbreaking | Adversarial examples and evasion attacks | Disclosure of confidential or proprietary information | Data and model poisoning and backdoors | Residual AI system security and availability weaknesses | Model theft, extraction and weight leakage | AI supply-chain and infrastructure vulnerabilities | Insecure or vulnerable code generation | Insecure integration with external tools, plugins and APIs | AI-enabled cyberattacks and offensive cyber operations | AI-enabled fraud, scams and social engineering | Deliberate misuse and repurposing for harm | Emergent dangerous capabilities",Clear,
iso_23894,ISO/IEC 23894 (numbers only),A.12,ISO/IEC 23894 Annex A A.12,,Mapped,MR-023 | MR-025 | MR-034 | MR-045 | MR-055,"Contribution to misinformation and information-ecosystem degradation | Overconfidence, sycophancy and poor calibration | Overreliance and automation bias | Insufficient documentation, transparency and data provenance | Lack of explainability and interpretability",Clear,
