framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
ibm_atlas,IBM AI Risk Atlas,ibm-redundant-actions,Redundant actions,"AI agents can execute actions that are not needed for achieving the goal. In an extreme case, AI agents might enter a cycle of executing the same actions repeatedly without any progress. This could happen because of unexpected conditions in the environment, the AI agent's failure to reflect on its action, AI agent reasoning and planning errors or the AI agent's lack of knowledge about the problem.",Mapped,MR-037,Environmental footprint of AI,Partial,Redundant agent actions waste compute and energy and land on the environmental-footprint risk; pure operational cost efficiency is only thinly covered.
ibm_atlas,IBM AI Risk Atlas,ibm-unexplainable-and-untraceable-actions,Unexplainable and untraceable actions,"Explanations, lineage and trace information, and source attribution for AI agent actions might be difficult, imprecise or unobtainable.",Mapped,MR-055,Lack of explainability and interpretability,Clear,Inability to explain or trace agent actions is the explainability risk applied to agents; the logging side sits on MR-069.
ibm_atlas,IBM AI Risk Atlas,ibm-discriminatory-actions,Discriminatory actions,"AI agents can take actions where one group of humans is unfairly advantaged over another due to the decisions of the model. This may be caused by AI agents' biased actions that impact the world, in the resources consulted, and in the resource selection process. For example, an AI agent can generate code that can be biased.",Mapped,MR-001,Biased or discriminatory outputs and decisions,Clear,Agent actions that unfairly advantage one group are biased or discriminatory decisions.
ibm_atlas,IBM AI Risk Atlas,ibm-introduce-data-bias,Introduce data bias,"Specific actions taken by the AI agent, such as modifying a dataset or a database, can introduce bias in the resource that gets used by others or by itself to take actions.",Mapped,MR-059,Poor data quality and representativeness,Partial,An agent corrupting a shared dataset degrades data quality and representativeness for downstream users; the harm surfaces as MR-001.
ibm_atlas,IBM AI Risk Atlas,ibm-ai-agent-compliance,AI agent compliance,Determining AI agents' compliance is complex and there might not be enough information to assess whether the agentic AI system is compliant with applicable legal requirements.,Mapped,MR-043,Inadequate AI governance and oversight processes,Partial,Difficulty assessing an agent's compliance is an AI governance and oversight gap; the exposure lands on MR-040.
ibm_atlas,IBM AI Risk Atlas,ibm-accountability-of-ai-agent-actions,Accountability of AI agent actions,"Assigning responsibility for an action taken by an agentic AI system is difficult due to the complexity of agents and the number of external resources, tools or agents they interact with.",Mapped,MR-042,Unclear accountability and responsibility for AI decisions,Clear,Difficulty assigning responsibility for an agent's actions is the unclear-accountability risk.
ibm_atlas,IBM AI Risk Atlas,ibm-incomplete-ai-agent-evaluation,Incomplete AI agent evaluation,Evaluating the performance or accuracy or an agent is difficult because of system complexity and open-endedness.,Mapped,MR-046,"Inadequate evaluation, testing and benchmarking",Clear,"Difficulty evaluating agent performance is inadequate evaluation, testing and benchmarking."
ibm_atlas,IBM AI Risk Atlas,ibm-lack-of-ai-agent-transparency,Lack of AI agent transparency,"Lack of AI agent transparency is due to insufficient documentation of the AI agent design, development, evaluation process, absence of insights into the inner workings of the AI agent, and interaction with other agents/tools/resources.",Mapped,MR-045,"Insufficient documentation, transparency and data provenance",Clear,Insufficient agent design and evaluation documentation is the documentation and transparency risk.
ibm_atlas,IBM AI Risk Atlas,ibm-mitigation-and-maintenance,Mitigation and maintenance,The large number of components and dependencies that agent systems have complicates keeping them up to date and correcting problems.,Mapped,MR-066,Change deployed without revalidation,Partial,Difficulty keeping many agent components current maps to change and maintenance without revalidation; degradation sits on MR-058.
ibm_atlas,IBM AI Risk Atlas,ibm-reproducibility,Reproducibility,Replicating agent behavior or output can be impacted by changes or updates made to external services and tools. This impact is increased if the agent is built with generative AI.,Mapped,MR-046,"Inadequate evaluation, testing and benchmarking",Partial,Non-reproducible agent behavior undermines evaluation and assurance; the drift angle is MR-058.
ibm_atlas,IBM AI Risk Atlas,ibm-sharing-ip-pi-confidential-information-with-tools,Sharing IP/PI/confidential information with tools,AI agents with unrestricted access to resources or databases or tools could potentially store and share PI/IP/confidential information with other tools or agents when performing their actions.,Mapped,MR-013,Disclosure of confidential or proprietary information,Clear,An agent sharing confidential or IP data with other tools is disclosure of confidential information; executes via sub-risk MR-071.6.
ibm_atlas,IBM AI Risk Atlas,ibm-sharing-ip-pi-confidential-information-with-user,Sharing IP/PI/confidential information with user,AI agents with unrestricted access to resources or databases or tools could potentially store and share PI/IP/confidential information with system users when performing their actions.,Mapped,MR-009,Leakage of personal or sensitive data,Clear,An agent sharing personal or confidential data with users is leakage in outputs; confidential angle on MR-013.
