framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 4,Art. 4,,Mapped,MR-048 | MR-079,AI competence and skills gaps in the organization | Non-compliance with the AI literacy obligation,Clear,AI literacy of staff. | Nearest existing risk: MR-048 AI competence and skills gaps (the capability gap; Art. 4 is the enforceable literacy duty for all deployers).
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 5,Art. 5,,Mapped,MR-077,Deploying or repurposing a system into a prohibited practice,Clear,Nearest existing risk: MR-060 Use outside intended scope / MR-040 Regulatory non-compliance (neither names the prohibited-practice categories).
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 5(a),Art. 5(a),,Mapped,MR-030,"Manipulation, persuasion and dark patterns",Clear,Manipulative and exploitative techniques prohibited.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 5(b),Art. 5(b),,Mapped,MR-030,"Manipulation, persuasion and dark patterns",Clear,Manipulative and exploitative techniques prohibited.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 5(c),Art. 5(c),,Mapped,MR-001,Biased or discriminatory outputs and decisions,Clear,Data-driven bias and social-scoring prohibition.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 5(e),Art. 5(e),,Mapped,MR-033,Mass surveillance and censorship enablement,Clear,"Biometric scraping prohibition, law-enforcement biometric authorisation, biometric/emotion disclosure."
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 9,Art. 9,,Mapped,MR-043 | MR-046,"Inadequate AI governance and oversight processes | Inadequate evaluation, testing and benchmarking",Clear,Risk-management system maintained for the deployed high-risk system. | Testing and evaluation of the deployed system.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 10,Art. 10,,Mapped,MR-001 | MR-011 | MR-059,Biased or discriminatory outputs and decisions | Unlawful or non-consensual collection and processing of personal data | Poor data quality and representativeness,Clear,Data-driven bias and social-scoring prohibition. | Lawful data processing and DPIA linkage. | Input-data relevance and representativeness.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 12,Art. 12,,Mapped,MR-069,"Inadequate logging, record-keeping and traceability",Clear,Log generation and retention (>= 6 months).
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 13,Art. 13,,Mapped,MR-045 | MR-055,"Insufficient documentation, transparency and data provenance | Lack of explainability and interpretability",Clear,Provider instructions and documentation the deployer relies on. | Transparency to and disclosure toward affected persons.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 14,Art. 14,,Mapped,MR-054,Loss of meaningful human oversight and control,Clear,Human oversight assigned and effective.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 15,Art. 15,,Mapped,MR-015 | MR-046 | MR-050 | MR-056,"Residual AI system security and availability weaknesses | Inadequate evaluation, testing and benchmarking | Inaccuracy and poor predictive performance | Lack of robustness to distribution shift and edge cases",Clear,Cybersecurity of the system and model weights. | Testing and evaluation of the deployed system. | Accuracy maintained in use. | Robustness maintained in use.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 26(1),Art. 26(1),,Mapped,MR-060,Use outside intended scope,Clear,Use within the provider's instructions for use.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 26(2),Art. 26(2),,Mapped,MR-054,Loss of meaningful human oversight and control,Clear,Human oversight assigned and effective.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 26(4),Art. 26(4),,Mapped,MR-059,Poor data quality and representativeness,Clear,Input-data relevance and representativeness.
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 26(5),Art. 26(5),,Mapped,MR-068 | MR-076,Inadequate AI incident response and communication | Failure to monitor operation and meet incident-reporting and suspension duties,Clear,Monitoring and serious-incident reporting/suspension. | Nearest existing risk: MR-068 Inadequate incident response (the organizational capability; Art. 26(5)/72/73 is the mandatory authority-reporting and suspension duty).
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 26(6),Art. 26(6),,Mapped,MR-069,"Inadequate logging, record-keeping and traceability",Clear,Log generation and retention (>= 6 months).
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 26(7),Art. 26(7),,Mapped,MR-073,Failure to inform workers before workplace deployment,Clear,Nearest existing risk: MR-040 Regulatory non-compliance (generic; the worker-information duty is not otherwise named).
eu_ai_act,EU AI Act 2024/1689 + GPAI Code of Practice (deployer),Art. 26(8),Art. 26(8),,Mapped,MR-063 | MR-074,AI inventory blind spots | Failure to register a high-risk system or verify its registration,Clear,Registration and inventory visibility. | Nearest existing risk: MR-063 AI inventory blind spots (internal visibility; Art. 26(8)/49 is the external regulatory registration duty).
