risk_id,framework_id,framework,framework_role,item_id,item_name,match
MR-001,iso_23894,ISO 23894,source,A.6,ISO/IEC 23894 Annex A A.6,clear
MR-001,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-001,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-001,iso_42001,ISO 42001,source,A.7.4,ISO/IEC 42001 Annex A A.7.4,clear
MR-001,eu_ai_act,EU AI Act,source,Art. 10,Art. 10,clear
MR-001,eu_ai_act,EU AI Act,source,Art. 5(c),Art. 5(c),clear
MR-001,ibm_atlas,IBM,crosscheck,ibm-data-bias,Data bias,clear
MR-001,ibm_atlas,IBM,crosscheck,ibm-decision-bias,Decision bias,clear
MR-001,ibm_atlas,IBM,crosscheck,ibm-discriminatory-actions,Discriminatory actions,clear
MR-001,nist_genai,NIST GenAI,crosscheck,GENAI.6,Harmful Bias or Homogenization,clear
MR-002,iso_23894,ISO 23894,source,A.6,ISO/IEC 23894 Annex A A.6,clear
MR-002,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-002,iso_42001,ISO 42001,source,A.7.4,ISO/IEC 42001 Annex A A.7.4,clear
MR-002,ibm_atlas,IBM,crosscheck,ibm-impact-on-cultural-diversity,Impact on cultural diversity,partial
MR-002,ibm_atlas,IBM,crosscheck,ibm-output-bias,Output bias,clear
MR-002,nist_genai,NIST GenAI,crosscheck,GENAI.6,Harmful Bias or Homogenization,clear
MR-003,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-003,iso_23894,ISO 23894,source,A.6,ISO/IEC 23894 Annex A A.6,clear
MR-003,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-003,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-003,ibm_atlas,IBM,crosscheck,ibm-spreading-toxicity,Spreading toxicity,clear
MR-003,ibm_atlas,IBM,crosscheck,ibm-toxic-output,Toxic output,clear
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.11,Safety Harms and Toxicity: Profanity,clear
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.3,Safety Harms and Toxicity: Animal Abuse,partial
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.6,Safety Harms and Toxicity: Environmental Harm,partial
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.8,Safety Harms and Toxicity: Harassment,clear
MR-003,cisco,Cisco,crosscheck,AISubtech-15.1.9,Safety Harms and Toxicity: Hate Speech,clear
MR-003,nist_genai,NIST GenAI,crosscheck,GENAI.3,"Dangerous, Violent, or Hateful Content",clear
MR-004,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
MR-004,iso_42001,ISO 42001,source,A.5.4,ISO/IEC 42001 Annex A A.5.4,clear
MR-004,iso_42001,ISO 42001,source,A.6.2.4,ISO/IEC 42001 Annex A A.6.2.4,clear
MR-004,cisco,Cisco,crosscheck,AISubtech-15.1.16,Safety Harms and Toxicity: Terrorism / Extremism,clear
MR-004,cisco,Cisco,crosscheck,AISubtech-15.1.17,Safety Harms and Toxicity: Violence and Public Safety Threat,clear
MR-004,nist_genai,NIST GenAI,crosscheck,GENAI.3,"Dangerous, Violent, or Hateful Content",clear
MR-005,iso_23894,ISO 23894,source,A.10,ISO/IEC 23894 Annex A A.10,clear
