framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.01,Availability Violations,A disruption of the ability of other users or processes to obtain timely and reliable access to an AI system's outputs or functionality (availability breakdown).,Mapped,MR-015,Residual AI system security and availability weaknesses,Clear,Availability breakdown of the AI system is the register's general AI security weakness and availability-attack risk; denial of service and cost-harvesting are the ATLAS-anchored sub-risks.
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.02,Integrity Violations,"An AI system being forced to misperform against its intended objectives, producing outputs or predictions that align with the attacker's objective.",Mapped,MR-012 | MR-014 | MR-010,Adversarial examples and evasion attacks | Data and model poisoning and backdoors | Prompt injection and jailbreaking,Clear,"Integrity violations are realised through evasion (MR-012), poisoning and backdoors (MR-014) and prompt injection (MR-010); the ATLAS integrity-erosion and trusted-output-manipulation sub-risks apply."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.03,Privacy Compromises,"The unauthorized access of restricted or proprietary information that is part of an AI system, including information about a model's training data, weights or architecture, or sensitive information that the model accesses (e.g. a RAG knowledge base).",Mapped,MR-017 | MR-009 | MR-016,"Privacy-invasive inference and re-identification | Leakage of personal or sensitive data | Model theft, extraction and weight leakage",Clear,"Privacy compromise spans privacy-invasive inference (MR-017), leakage of personal or sensitive data (MR-009) and model or data extraction (MR-016)."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.04,Misuse Violations,"Misuse enablement: a circumvention of technical restrictions imposed by the AI system's owner on its use, such as restrictions designed to prevent a GenAI system from producing outputs that could cause harm to others.",Mapped,MR-032 | MR-010,Deliberate misuse and repurposing for harm | Prompt injection and jailbreaking,Clear,"Misuse enablement (circumventing owner-imposed safety restrictions, e.g. jailbreaks) maps to misuse or repurposing (MR-032) achieved via guardrail bypass (MR-010.2)."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.05,Supply Chain Attacks,"Attacks that compromise components introduced through the AI supply chain, such as poisoned third-party data or a poisoned model published to a repository.",Mapped,MR-018 | MR-014,AI supply-chain and infrastructure vulnerabilities | Data and model poisoning and backdoors,Clear,Supply-chain attacks that introduce poisoned data or models map to the AI supply-chain risk (MR-018) and to data and model poisoning (MR-014).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.011,Model Poisoning (availability),"A poisoning attack which operates through model control (the attacker can modify the trained model parameters), here aimed at degrading availability.",Mapped,MR-014,Data and model poisoning and backdoors,Clear,Model poisoning through model control is direct manipulation or backdoor insertion under data and model poisoning (MR-014).
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.012,Clean-label Poisoning,A poisoning attack in which the adversary controls training samples but cannot change their labels (the label-limit capability).,Mapped,MR-014,Data and model poisoning and backdoors,Clear,Clean-label poisoning is a training-data poisoning variant under MR-014.
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.013,Data Poisoning,A poisoning attack in which an adversary controls part of the training data.,Mapped,MR-014,Data and model poisoning and backdoors,Clear,"Data poisoning is squarely MR-014, with ATLAS sub-risks for training-data poisoning and poisoned datasets published for ingestion."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.014,Energy-latency,"An attack that exploits the performance dependency on hardware and model optimizations to negate the effects of hardware optimizations, increase computational latency, increase hardware temperature, and massively increase the amount of energy consumed (e.g. sponge examples).",Mapped,MR-015,Residual AI system security and availability weaknesses,Clear,"Energy-latency (sponge) attacks degrade availability and inflate compute cost, mapping to general AI availability attacks (MR-015), denial of service and denial of wallet."
nist_aml,NIST AI 100-2e2025 Adversarial ML,NISTAML.015,Indirect Prompt Injection,A type of prompt injection executed through resource control (adversary-controlled external data the model ingests) rather than through user-provided input as in a direct prompt injection.,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Indirect prompt injection via adversary-controlled external data is the register's indirect prompt injection sub-risk (MR-010.9).
