framework,framework_name,entry_id,entry_name,entry_description,disposition,register_ids,register_names,confidence,note
cisco,Cisco AI Security Framework,AISubtech-1.1.1,Instruction Manipulation (Direct Prompt Injection),Direct Prompt Injection,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Direct prompt injection = our prompt-injection/jailbreak risk.
cisco,Cisco AI Security Framework,AISubtech-1.1.2,Obfuscation (Direct Prompt Injection),Direct Prompt Injection,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Direct prompt injection = our prompt-injection/jailbreak risk.
cisco,Cisco AI Security Framework,AISubtech-1.1.3,Multi-Agent Prompt Injection,Direct Prompt Injection,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Direct prompt injection = our prompt-injection/jailbreak risk.
cisco,Cisco AI Security Framework,AISubtech-1.2.1,Instruction Manipulation (Indirect Prompt Injection),Indirect Prompt Injection,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Indirect prompt injection via ingested content.
cisco,Cisco AI Security Framework,AISubtech-1.2.2,Obfuscation (Indirect Prompt Injection),Indirect Prompt Injection,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Indirect prompt injection via ingested content.
cisco,Cisco AI Security Framework,AISubtech-1.2.3,Multi-Agent (Indirect Prompt Injection),Indirect Prompt Injection,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Indirect prompt injection via ingested content.
cisco,Cisco AI Security Framework,AISubtech-1.3.1,"Goal Manipulation (Models, Agents)",Goal Manipulation,Mapped,MR-071,Autonomous agent hijacking and excessive-agency abuse,Partial,Adversarial goal manipulation of models/agents = agent goal hijack; non-agent case relates to MR-010.
cisco,Cisco AI Security Framework,AISubtech-1.3.2,"Goal Manipulation (Tools, Prompts, Resources)",Goal Manipulation,Mapped,MR-071,Autonomous agent hijacking and excessive-agency abuse,Partial,Adversarial goal manipulation of models/agents = agent goal hijack; non-agent case relates to MR-010.
cisco,Cisco AI Security Framework,AISubtech-1.4.1,Image-Text Injection,Multi-Modal Injection and Manipulation,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Multi-modal injection (image/audio/video) is a prompt-injection variant.
cisco,Cisco AI Security Framework,AISubtech-1.4.2,Image Manipulation,Multi-Modal Injection and Manipulation,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Multi-modal injection (image/audio/video) is a prompt-injection variant.
cisco,Cisco AI Security Framework,AISubtech-1.4.3,Audio Command Injection,Multi-Modal Injection and Manipulation,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Multi-modal injection (image/audio/video) is a prompt-injection variant.
cisco,Cisco AI Security Framework,AISubtech-1.4.4,Video Overlay Manipulation,Multi-Modal Injection and Manipulation,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Multi-modal injection (image/audio/video) is a prompt-injection variant.
cisco,Cisco AI Security Framework,AISubtech-2.1.1,Context Manipulation (Jailbreak),Jailbreak,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Jailbreak / safety-guardrail bypass.
cisco,Cisco AI Security Framework,AISubtech-2.1.2,Obfuscation (Jailbreak),Jailbreak,Mapped,MR-010,Prompt injection and jailbreaking,Clear,Jailbreak / safety-guardrail bypass.
